text,label
"Не могу платить по кредитам уже полгода. Три банка, общая сумма около 800 тысяч. Просрочки по всем. Хочу понять, могу ли оформить банкротство.",консультация
"Долг по ипотеке и двум потребительским кредитам. Банки звонят, угрожают коллекторами. Нужна консультация по вариантам.",консультация
"Подскажите, с чего начать процедуру банкротства физлица? Долгов много, платить не могу.",консультация
"Хочу подготовить документы для банкротства. Есть справки из банков о долгах, но не знаю, что ещё нужно.",подготовка_документов
"Нужна помощь в сборе документов для подачи в суд по банкротству. Долги около 1.2 млн, 4 кредитора.",подготовка_документов
"Собрал часть документов для банкротства. Нужна проверка списка и помощь с заявлением.",подготовка_документов
"Все документы готовы, хочу подать заявление о банкротстве в арбитражный суд. Долг 2 млн, 5 кредиторов.",подача_заявления
"Готов подавать на банкротство. Документы собраны, нужна помощь с подачей в суд.",подача_заявления
"Просрочка по кредитам 6 месяцев. Долг 500 тыс., один банк. Хочу оформить банкротство.",подача_заявления
"Долги: микрозаймы и два кредита. Общая сумма 400 тыс. Платить не могу, просрочки. Что делать?",консультация
"Не понимаю, подхожу ли под банкротство. Долг около 600 тыс., два кредитора, есть просрочки.",консультация
"Нужна консультация: долг 1.5 млн по ипотеке, банк подал в суд. Могу ли я сам подать на банкротство?",консультация
"Помогите подготовить пакет документов. Долги 900 тыс., три банка. Справки есть, остальное не знаю как оформлять.",подготовка_документов
"Какие документы нужны для заявления о банкротстве? Долг 1 млн, 4 кредитора, просрочки полгода.",подготовка_документов
"Собрал справки из банков и МФО. Нужен чек-лист и помощь с заявлением о банкротстве.",подготовка_документов
"Заявление хочу подать сам. Документы готовы. Долг 1.8 млн, 6 кредиторов. Нужна проверка перед подачей.",подача_заявления
"Все готово к подаче. Долги 3 млн, ипотека и кредиты. Нужна помощь с подачей в арбитраж.",подача_заявления
"Не могу платить по кредитам с прошлого года. Долг 700 тыс., два банка. Просрочки большие. Куда обращаться?",консультация
